24-07-12 19:08:29.715 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| pcb1      |          94   |          80.7 |          85.2 |       86.7 |
| pcb2      |          92.4 |          78.9 |          62   |       64.4 |
| pcb3      |          88.4 |          76.8 |          61.7 |       69.4 |
| pcb4      |          95.7 |          89.4 |          93.9 |       94.3 |
| mean      |          92.6 |          81.4 |          75.7 |       78.7 |
24-07-15 02:25:15.535 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| pcb1      |          94   |          80.7 |          85.2 |       86.7 |
| pcb2      |          92.4 |          78.9 |          62   |       64.4 |
| pcb3      |          88.4 |          76.8 |          61.7 |       69.4 |
| pcb4      |          95.7 |          89.4 |          93.9 |       94.3 |
| mean      |          92.6 |          81.4 |          75.7 |       78.7 |
24-08-01 23:32:26.694 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| pcb1      |          94   |          80.7 |          85.2 |       86.7 |
| pcb2      |          92.4 |          78.9 |          62   |       64.4 |
| pcb3      |          88.4 |          76.8 |          61.7 |       69.4 |
| pcb4      |          95.7 |          89.4 |          93.9 |       94.3 |
| mean      |          92.6 |          81.4 |          75.7 |       78.7 |
